ensembl_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSG00000224020,380.1074233547542,1.7373540385182304,0.5543609098346455,7.97832696182676e-5,4.217561233662112e-4,MIR181A2HG
ENSG00000224050,33.328835640590626,8.348836740360662,3.5459259636943177,7.569894472656393e-5,4.020998938874847e-4,RP1-90G24.6
ENSG00000224063,1316.3851913056615,2.0906535334518463,0.27420085959831564,1.428540188223333e-15,2.2452411478651843e-14,AC007319.1
ENSG00000224650,49.84366631046729,9.436953149743877,3.2813177432247764,1.2668680060728157e-6,8.669095411738834e-6,IGHV3-74
ENSG00000224810,57.60116490707492,9.738977057223039,3.26038649058234,3.776884912545053e-7,2.7682196506185432e-06,RP11-538D16.2
ENSG00000225069,41.08542661266556,8.94550389984325,3.3806014984026245,1.0786469700118351e-5,6.510583488179591e-5,RP5-1025A1.2
ENSG00000225269,85.35187182100026,10.527511420144899,3.220171994427472,7.501482211800384e-9,6.646789644271413e-8,LINC00705
ENSG00000225920,56.07220655041463,9.200272542428596,3.6934316846663284,4.016434843950546e-5,2.2284019674681592e-4,RIMKLBP2
ENSG00000226017,848.1865733019538,1.6348090651708933,0.3428482355229785,1.0970645258296257e-7,8.573392234639655e-7,PRICKLE2-AS3
ENSG00000226125,57.425092488586195,9.760320605752378,3.2374642029555725,2.5071665512657753e-7,1.8751216502010933e-6,AC098823.3
ENSG00000226310,190.8145898431145,1.8350751184663139,0.8223474764227708,8.502801191241231e-4,0.0037336079315954847,RP3-323P24.3
ENSG00000226482,33.50400043454666,8.36537822563024,3.540414588195564,7.226053937822836e-5,3.853493559834872e-4,ADIPOQ-AS1
ENSG00000227038,1570.8995764427577,2.381905731503658,0.25753606492429254,1.3738376881190644e-21,3.2747633407849613e-20,GTF2IP7
ENSG00000228107,48.49520944519819,9.349872790205593,3.3103921020096574,2.2257417025093328e-6,1.4751150333369581e-5,AP000692.9
ENSG00000229021,676.9933881881178,1.5204245734316828,0.40020172398147763,8.197718727832905e-6,5.026571202509192e-5,AL591893.1
ENSG00000229386,39.68316087565203,8.82169107086386,3.4281749344588555,1.9092694287491515e-5,1.1126803223171128e-4,OR8B9P
ENSG00000229391,989.9996012231891,1.548690258201417,0.39462864344755955,4.717307226135109e-6,2.998116499705067e-5,HLA-DRB6
ENSG00000229453,202.78086924991914,12.178015263510334,3.1560909247178928,1.1388384445027678e-15,1.8126039325610146e-14,SPINK8
ENSG00000229989,184.15779832194104,1.781191241223355,1.0185708673597629,0.002093417934065835,0.008459082995497148,MIR181A1HG
ENSG00000230186,250.89711507556132,2.415050250243964,0.612481679010578,3.5356042853647665e-6,2.283819788152486e-5,RP5-998N21.7
ENSG00000230316,4201.425356301213,1.7765083501238084,0.16782756553987158,2.3948926048877158e-27,7.717876177382879e-26,FEZF1-AS1
